Organization Name,Organization Name URL,SEMrush - Monthly Visits,Number of Contacts,Operating Status,Company Type,Last Funding Date,Full Description,Last Funding Type,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,Top 5 Investors,Number of Lead Investors,Website,Headquarters Regions,Estimated Revenue Range,Twitter,Facebook,LinkedIn,Number of Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Founders,Number of Employees,Founders
ARMADO,https://www.crunchbase.com/organization/armado-5062,,,Active,For Profit,,"ARMADO, a threat research and technology company, was founded to bring enterprise-ready software to lean security teams focused on solving real-world cyber operation problems through practical application.",,2023-04-07,day,"Artificial Intelligence (AI), Big Data, Cyber Security, Predictive Analytics, SaaS, Software","San Francisco, California, United States",ARMADO is a threat research and technology company that builds software for cyber operation applications.,"265,809",,,,,,,,,,https://armado.io,"San Francisco Bay Area, West Coast, Western US",,https://www.twitter.com/armadoinc/,,https://www.linkedin.com/company/armadoinc/,,,,,,,1-10,
Ahani Corp.,https://www.crunchbase.com/organization/ahani-corp,,,Active,For Profit,,Agricultural Robotics,,2023-09-01,month,"Agriculture, Artificial Intelligence (AI), Farming, Robotics","Berkeley, California, United States","Agriculture, Robotics, AI","266,152",,,,,,,,,,https://ahani.ai/,"San Francisco Bay Area, West Coast, Western US",,,,https://www.linkedin.com/company/ahani-corp/,,,,,,1,1-10,Parsa Bakhtiari
OrbitAI,https://www.crunchbase.com/organization/orbitai,,,Active,For Profit,,Orbit is a platform built for users to develop more authentic connections with creators. We empower creators to express themselves in more meaningful and creative ways.,,2023-09-20,day,"Artificial Intelligence (AI), Software","San Francisco, California, United States",Develop genuine connections with your favorite creators.,"266,584",,,,,,,,,,https://askorbit.ai,"San Francisco Bay Area, West Coast, Western US",,https://twitter.com/askorbitai,,https://www.linkedin.com/company/askorbitai/,,,,,,3,1-10,"Hassam Uddin, Jeffrey Tang, Nikhil Mehta"
Swapme AI,https://www.crunchbase.com/organization/swapme-ai,,,Active,For Profit,,"Swapme AI is an SaaS platform revolutionizing design by offering images enhance and upscale with a single click. Ideal for social, e-commerce, and print, ensuring stunning visuals every time. Our Enhancer app is currently available on Canva",,2024-02-01,day,"Generative AI, Graphic Design, SaaS, Web Apps, Web Design","Wilmington, Delaware, United States",Swapme AI developed a Generative AI technology revolutionizing images enhancing and upscaling,"267,164",,,,,,,,,,https://www.swapme.ai,"Greater Philadelphia Area, East Coast, Southern US",,,,,,,,,,,1-10,
The ApplyAI,https://www.crunchbase.com/organization/the-applyai,894,,Active,For Profit,,The ApplyAI operates in the artificial intelligence and software industries. The company offers an AI-powered career and personal branding assistant for young professionals. It provides a platform where users can talk or type as they delve deeper into their professional experiences. The ApplyAI also features an AI resume generator that allows users to link a job description and get a role-specific resume with one click. The company is also working on a project that leverages the intersection of AI and social behaviors to optimize a consumer app.,,2023-03-01,month,"Artificial Intelligence (AI), Software","Brooklyn, New York, United States",AI-powered career and personal branding assistant for young professionals,"267,232",,,,,,,,,,http://theapply.ai,"Greater New York Area, East Coast, Northeastern US",,,,https://www.linkedin.com/company/the-applyai,,,,,,2,1-10,"Logan Currie, Vrijen Attawar"
SlideSpeak,https://www.crunchbase.com/organization/slidespeak,,1,Active,For Profit,,"SlideSpeak allows you to generate presentations with AI, summarize presentations with AI and extract valuable insights.",,2023-08-01,day,"Artificial Intelligence (AI), Presentation Software, SaaS, Software","Austin, Texas, United States",Generate Presentations with AI,"267,827",,,,,,,,,,https://slidespeak.co,Southern US,,,,https://www.linkedin.com/company/slidespeak,,,,,,1,1-10,Kevin Goedecke
Vitrus,https://www.crunchbase.com/organization/vitrus,,1,Active,For Profit,,AI for construction.,,2023-07-14,day,"Artificial Intelligence (AI), Construction, Software","Palo Alto, California, United States",AI-enabled construction,"268,265",,,,,,,,,,http://vitrus.ai,"San Francisco Bay Area, Silicon Valley, West Coast",,https://twitter.com/Vitrus_ai,,https://www.linkedin.com/company/vitrus-ai,,,,,,,1-10,
Strange Ventures,https://www.crunchbase.com/organization/strange-ventures,,1,Active,For Profit,,"Strange today, transformative tomorrow. Strange Ventures invests in game-changing ideas before anyone else by being the first creative partners to bold, technology founders.",,2023-05-23,day,"Artificial Intelligence (AI), Infrastructure, Venture Capital","San Francisco, California, United States",Strange Ventures is an early-stage VC fund that seeks to be the first creative partner to bold technology companies.,"268,649",,,,,,,,,,https://www.strangevc.com ,"San Francisco Bay Area, West Coast, Western US",,,,https://www.linkedin.com/company/strangevc,,,,,,1,1-10,Tara Tan
Watt,https://www.crunchbase.com/organization/watt,,,Active,For Profit,,Watt is an early-stage startup building a health and lifestyle monitoring system to help people live healthier and more intentional lives.,,2023-11-20,day,"Artificial Intelligence (AI), Lifestyle, Personal Development, Personal Health, Productivity Tools","Austin, Texas, United States",Watt helps people monitor their lifestyle and health to optimize well-being.,"269,569",,,,,,,,,,https://usewatt.com,Southern US,,https://www.twitter.com/usewatt_/,,https://www.linkedin.com/in/usewatt/,,,,,,2,1-10,"Anish Zute, Fernando Wadskier"
agenci3,https://www.crunchbase.com/organization/agenci3,,,Active,For Profit,,"""agenci3 indeed sounds unique and fills a specific niche in the market. Local and state political candidates often lack the resources and support that national-level candidates have, so a service like this could be very beneficial for them. Simulating interviews and debates is a particularly innovative use of AI."" - OpenAI to Jeff Bodzewski 07.07.2023 Agenci3 is more than the first generative AI campaign advisor to craft compelling content, and simulate interviews with actual media and debate opponents. We are the competitive advantage to help the typically underfunded and understaffed 560,000+ local and state candidates win elections. Our ChatGPT-4 powered LLM has been exhaustively trained and refined by senior advisers with backgrounds in public affairs to generate personalized content that resonates with voters and moves them to action. Each piece of content used to train our models is reviewed by our team to ensure the source is credible, factual and with a strong bias for writings, transcripts and other publicly available content. agenci3 never uses automated processes to scrape web for content so we can ensure the integrity of our model. A recent academic paper by experts from Oxford, Cambridge and other universities found ""that use of model-generated content in training causes irreversible defects in the resulting models.” agenci3 is deliberately built to deliver long-term value to its customers and investors alike. Our subscription service beginning at $99/month is affordable, easy to use and accessible from anywhere. But most importantly, it's effective.",,2023-06-05,day,"Artificial Intelligence (AI), Content, Generative AI, Politics, Software","Chicago, Illinois, United States",The first generative AI political advisor built to win state and local elections,"269,671",,,,,,,,,,https://www.agenci3.com,"Greater Chicago Area, Great Lakes, Midwestern US",,,,,,,,,,1,1-10,Jeff Bodzewski
"Gaia Computer Technologies, Inc.",https://www.crunchbase.com/organization/gaia-design-technologies,,,Active,For Profit,,,,2023-06-01,month,"Apps, Architecture, Artificial Intelligence (AI), CAD, Generative AI","New York, New York, United States",Generative AI Architecture Application,"270,196",,,,,,,,,,https://www.gaia.computer,"Greater New York Area, East Coast, Northeastern US",,,,,,,,,,2,1-10,"Daan van der Zwaag, Marie Leaf"
Weardrobe,https://www.crunchbase.com/organization/weardrobe-5bc3,,,Active,For Profit,,Weardrobe is your virtual stylist—guiding you to your perfect style. Virtually try on and discover fashion that fits you.,,2023-10-17,day,"Fashion, Generative AI, Social Shopping, Software","Los Angeles, California, United States","Mobile App, Consumer, AI","271,705",,,,,,,,,,https://weardrobe.app/,"Greater Los Angeles Area, West Coast, Western US",,,,,,,,,,,1-10,
Alivo,https://www.crunchbase.com/organization/alivo,,,Active,For Profit,,"Alivo is simplifying customer communications, helping businesses deliver instant, personalized, and intelligent interactions. Our advanced AI technology enables seamless and efficient conversations, allowing businesses to expand their reach and enhance customer satisfaction.",,2023-06-14,day,"Artificial Intelligence (AI), Marketing, Sales, Software","South Portland, Maine, United States",AI-powered text campaigns (Saas),"272,300",,,,,,,,,,https://www.alivo.ai/,"East Coast, New England, Northeastern US",,,,https://www.linkedin.com/company/alivoai/,,,,,,,1-10,
HyprWin,https://www.crunchbase.com/organization/hyprwin,,1,Active,For Profit,,"Revolutionizing Sales with AI to Streamline Onboarding and Eliminate Non-Essential Tasks In the ever-evolving world of business, one thing remains constant: the challenges associated with the sales process. From lack of a clear value proposition, lack of an understanding of your product from a value-based approach, to not knowing what problems you’re trying to solve and how that relates to your prospect. The lack of asking your prospect good open-ended questions to find the gap, of what problems they face and how your product can help fill that gap, to unstructured onboarding and guidance, to the overwhelming amount of busy work that often doesn’t contribute to closing deals, we’ve seen sales reps, founders, and leaders struggle. At the same time, the tech industry is witnessing significant layoffs, with tech giants like Google, Amazon, Microsoft, Yahoo, Meta, and Zoom considerably reducing their workforces. This industry shift has caused a surge of talented tech professionals to venture into entrepreneurship, launch their own firms, or join smaller tech firms that present substantial growth opportunities. Moreover, we’re experiencing a groundbreaking era characterized by the emergence of Generative AI, heralding an exciting new wave of technology. This transformation in the tech landscape introduces compelling advancements and opportunities. In this dynamic context, we see a unique opportunity to assist these emergent ventures and tech firms grappling with articulating their unique value propositions. That’s where HyprWin comes into play. Our next-generation sales enablement platform, powered by advanced AI, is primed to meet the needs of this rapidly evolving landscape. It leverages this new wave of technology and taps into the immense pool of talent looking to make a mark. HyprWin’s primary objective is to optimize the sales process, from prospect identification to deal closure. We leverage AI technology to create a dynamic, swift, and focused workflow that guides you efficiently in the right direction. Our focus is not to replicate CRM systems, laden with unnecessary complexities where only a small fraction of the features are truly useful. We adopt a CRM-agnostic approach and offer API connectivity, allowing you to integrate our platform with your existing CRM solution seamlessly if you choose to do so. Our roots are in the realm of microservices and laser-focused sales processes. With HyprWin, we’ve streamlined the approach, enabling startups to efficiently market their unique value propositions and maintain that crucial focus to facilitate rapid sales. We stand as a resource for individual contributors and teams eager to accelerate their processes and articulate their value in the most effective manner possible. Here’s how HyprWin addresses the common challenges and can be particularly beneficial to startups and smaller tech firms in the current climate. Structured Onboarding: In the wake of tech layoffs expanding the talent pool, startups and smaller tech firms are ideally positioned to harness the skills of these high-caliber professionals. With HyprWin’s AI-Driven Workflow, we eliminate the prolonged and complex onboarding processes, allowing you to swiftly integrate these professionals into your sales process. Our platform serves as a comprehensive workflow, designed to guide anyone looking to sell their SaaS product from prospect to close. This means that new representatives, irrespective of their experience level, can hit the ground running with HyprWin, armed with the necessary insights and tools to excel. Guidance: Our platform provides continuous guidance throughout the sales cycle. From prospecting to closing deals, HyprWin’s AI guides reps every step of the way, ensuring they never feel lost or unsure of their next move, which is particularly crucial for startups that need to move quickly and efficiently. Eliminating Busy Work: With the rise of “revenge startups” by those affected by layoffs, there’s a need to focus on what matters most - building a quality product and closing deals. HyprWin automates various time-consuming tasks, freeing up sales reps to focus on these key aspects. From updating customer records to ranking lead quality, HyprWin handles the tedious tasks so your reps can focus on building relationships and closing sales. Reducing Non-Closing Activities: HyprWin streamlines the sales process by focusing on activities that directly contribute to deal closure. Our platform promotes clear communication and goal alignment with prospects, ensuring that reps spend their time on high-impact tasks that lead to sales. With HyprWin, sales reps are empowered to focus on what they do best: selling. Our platform combines cutting-edge AI technology with an intuitive user experience, revolutionizing the way sales teams operate and helping startups and teams to navigate the current landscape of the tech industry. With the ongoing economic disruption and the surge of startups, the current market conditions create an ideal environment for new businesses to emerge. A recent survey of 1,000 laid-off tech workers conducted by Clarify Capital LLC found that 63% of the respondents started their own company after their layoff. As these new startups rise from the ashes of tech industry layoffs, HyprWin stands ready to support these bold entrepreneurs and smaller techfirms in accelerating their sales and driving their success. In the end, we believe that the key to overcoming the challenges in the sales process lies in intelligent automation, actionable insights, and effective guidance. With HyprWin, we’re making that belief a reality, one sales team at a time. HyprWin is more than just a tool - it’s a game changer for those in the sales industry. Whether you’re an individual sales rep looking to streamline your process and sell value in the best way possible, or a startup aiming to sell your unique value proposition quickly and efficiently, HyprWin is designed to support you. We are committed to helping teams and startups navigate the changing landscape of the tech industry, turning challenges into opportunities and driving success. With HyprWin, you’re not just getting a platform - you’re getting a partner in success. Together, we can redefine what’s possible in sales.",,2023-05-01,day,"Artificial Intelligence (AI), SaaS, Sales, Sales Automation, Sales Enablement, Software","Portland, Oregon, United States",SaaS sales enablement,"272,355",,,,,,,,,,https://hyprwin.com,"West Coast, Western US",,,,https://www.linkedin.com/company/hyprwin,,,,,,2,11-50,"Chris Ferrell, Markus Weldon"
VoiceBite,https://www.crunchbase.com/organization/voicebite,,,Active,For Profit,,"Boasting over 20 years of combined experience in the Voice AI restaurant space on the phone and in the drive through. Our team has developed voice automation products in previous ventures that are live in over 250+ QSRs - and have seamlessly processed millions of orders since 2018. At VoiceBite, we are driven by the mission to leverage AI to automate the restaurant ordering process with a better than human like experience. We're dedicated to trimming your operational expenses, increasing operational efficiency and boosting margins, all while offering a seamless service that never calls in sick or fights with your customers.",,2023-08-02,day,"Generative AI, Restaurants","Cupertino, California, United States",We provide the best Voice AI technology for restaurants and their customers.,"273,011",,,,,,,,,,https://www.voicebite.ai,"San Francisco Bay Area, Silicon Valley, West Coast",,,,https://www.linkedin.com/company/voicebite-ai/,,,,,,3,1-10,"Arjun Vasan, Christopher Lam, Robert Nessler"
Wave3 Labs,https://www.crunchbase.com/organization/wave3-labs,,,Active,For Profit,,Harnessing the power of AI to supercharge the business - AI Technology consulting,,2023-05-01,month,"Artificial Intelligence (AI), Information Technology, Language Learning, Machine Learning, Natural Language Processing, Software","Rock Springs, Wyoming, United States",Artificial Intelligence Consulting,"273,219",,,,,,,,,,https://www.wave-3.co,Western US,,,,https://www.linkedin.com/company/wave3labs,,,,,,1,1-10,Prashanth Raghavan
Judini,https://www.crunchbase.com/organization/judini,"3,582",,Active,For Profit,,,,2023-03-24,day,"Artificial Intelligence (AI), Developer APIs, Machine Learning","Miami, Florida, United States",A proprietary API that allows you to transform a generic AI model into a custom one that is trained and adapted to your business data.,"273,408",,,,,,,,,,https://judini.ai/,"Greater Miami Area, East Coast, Southern US",,https://twitter.com/judiniAI,,https://www.linkedin.com/company/judini/,,,,,,2,1-10,"Alvaro Chavez, Gustavo Espíndola"
PGxCare,https://www.crunchbase.com/organization/pgxcare,,,Active,For Profit,,"PGxCare offers an AI capabilities, enabling analysis of pharmacogenetic data ensuring accurate results tailored to individual needs.",,2023-09-01,day,"Artificial Intelligence (AI), Bioinformatics, Health Care, Life Science, Machine Learning","Palo Alto, California, United States","PGxCare offers an AI capabilities, enabling analysis of pharmacogenetic data ensuring accurate results tailored to individual needs.","273,637",,,,,,,,,,https://pgxcare.com/,"San Francisco Bay Area, Silicon Valley, West Coast",,,https://www.facebook.com/groups/320663360356574,https://www.linkedin.com/company/92608496/,,,,,,,11-50,
Philbot,https://www.crunchbase.com/organization/philbot,,,Active,For Profit,,"Philbot is an innovative, cutting-edge AI-driven platform that opens the door to the world of philosophy, enabling users to engage in thought-provoking dialogues and deepen their critical thinking skills. This app is designed to inspire, educate, and provide insight into various philosophical themes and concepts, democratizing access to philosophical discourse previously confined to academic environments. Philbot leverages the power of advanced artificial intelligence, trained on a diverse range of philosophical texts from ancient to contemporary. The app's unique 'Conversational AI' feature offers an immersive interactive experience, enabling users to engage with AI in meaningful and enlightening discussions, from exploring ethical dilemmas to understanding existential questions. Beyond individual exploration, Philbot is poised to become an invaluable tool for educational institutions. By using our app, students and educators alike can deepen their understanding of complex philosophical concepts, catalyze classroom discussions, and spark intellectual curiosity. Moreover, our platform offers personalized learning experiences, adjusting the complexity of discussions based on user's knowledge and comprehension levels. But Philbot is not just an educational tool. In a rapidly evolving world, businesses can harness the power of philosophy to shape their strategic thinking and foster a culture of critical reasoning and ethical decision-making. Our platform can also assist in developing soft skills, such as empathy, persuasion, and negotiation, which are increasingly in demand in the modern workplace. In a world saturated with information, Philbot offers a novel way to engage with knowledge, inviting users to question, reflect, and grow intellectually. Join us as we revolutionize the way people interact with philosophy, contributing to the development of a more thoughtful, informed, and enlightened society.",,2023-03-12,day,"Artificial Intelligence (AI), Consumer Software, E-Learning, EdTech, Personal Development, Social Impact","San Diego, California, United States","Mobile App, IOS","273,888",,,,,,,,,,,"Greater San Diego Area, West Coast, Western US",,,,,,,,,,1,1-10,Sharoz Javaid
Progneo,https://www.crunchbase.com/organization/progneo,,,Active,For Profit,,"We enable business growth with our premium software solutions in the United States and worldwide. With a combined 23 years of experience in the field, we prioritize client satisfaction with our expertise in Web Development, Mobile App Development, SAAS, SAP, UI/UX Design, and SEO Services. Our proficient solutions through emerging technologies spanning from AI Integration, Web3 Development to IoT and beyond cater to your specific business needs. We have three collaboration models namely  Staff Augmentation Model Dedicated Teams Integration Model Team Outsourcing Model ProgNeo offers flexible collaboration models to suit diverse client needs. Staff Augmentation provides on-demand expertise, Dedicated Teams Integration ensures a committed and integrated team, while Team Outsourcing allows clients to outsource entire projects. Each model offers unique advantages, catering to scalability, resource flexibility, and project complexity. Our Services in the United States and Globally include: Web3 development Mobile app development Web Development SAAS and Custom Software development AI integration QA & Testing UI/UX Design and Consultation Search Engine Optimization(SEO)",,2023-08-01,day,"Artificial Intelligence (AI), Blockchain, Mobile Apps, SEO, Software, UX Design, Web Development, Web3","Las Vegas, Nevada, United States",Software Development and SEO services Company,"274,283",,,,,,,,,,https://progneo.com/,Western US,,https://twitter.com/progneocorp,https://www.facebook.com/Progneo81/,https://www.linkedin.com/company/progneo-corporation/,,,,,,,51-100,
DocUnlock,https://www.crunchbase.com/organization/docunlock,,,Active,For Profit,,"DocUnlock is a vertical SaaS solution that automates critical workflows for customs brokerages, freight forwarders, and other related entities in the shipping & logistics space",,2023-03-31,day,"Artificial Intelligence (AI), Enterprise Software, Industrial Automation, Logistics, SaaS, Shipping, Shipping Broker, Software","San Francisco, California, United States","SaaS, Shipping, Logistics, Document Processing, Workflow Automation, Data Extraction","274,488",,,,,,,,,,https://docunlock.ai,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,,1-10,
Valmis Robotics Corporation,https://www.crunchbase.com/organization/valmis-robotics-corporation,,,Active,For Profit,,"Robotics solutions for sustainable agriculture, including autonomous electric row tractors and supporting systems.",,2023-05-12,day,"AgTech, Artificial Intelligence (AI), Computer Vision, Farming, Machine Learning","Bethesda, Maryland, United States","Agricultural robotics solutions, smart farming, AgTech","274,779",,,,,,,,,,http://www.valmis.io,"Washington DC Metro Area, East Coast, Southern US",,,,,,,,,,2,1-10,"Eric Wiideman, Jim Price"
Prismix,https://www.crunchbase.com/organization/prismix,,,Active,For Profit,,"Prismix is a content creation and social media management platform designed to streamline the process of content planning, creation, and publishing for businesses, helping them grow their online presence through engaging and up-to-date content. The platform combines creative capabilities and scheduling efficiency. With the ever-increasing importance of social media and content marketing for businesses, Prismix aims to provide a one-stop solution to make content creation and management more accessible, efficient, and effective.",,2023-03-01,day,"Advertising, Artificial Intelligence (AI), Copywriting, Marketing","San Francisco, California, United States",Prismix is a content creation and social media management platform.,"276,728",,,,,,,,,,https://www.prismix.us/,"San Francisco Bay Area, West Coast, Western US",,,https://www.facebook.com/profile.php?id=100091926217528,https://www.linkedin.com/company/prismixinc/,,,,,,1,1-10,Nver Khachatryan
Active Insights,https://www.crunchbase.com/organization/active-insights-inc,,,Active,For Profit,,Active Insights is an AI surveillance technology that preempts crimes and protects humanity across multiple market channels.,,2023-04-13,day,"Artificial Intelligence (AI), Machine Learning","San Diego, California, United States",Active Insights is an AI surveillance technology that preempts crimes and protects humanity across multiple market channels.,"277,202",,,,,,,,,,https://activeinsights.ai/,"Greater San Diego Area, West Coast, Western US",,,,https://www.linkedin.com/company/activeinsights/,,,,,,1,1-10,William West
HomeHQ.ai,https://www.crunchbase.com/organization/homehq-ai,,1,Active,For Profit,,Generative Deal Intelligence Platform to find and acquire more listings and more buyers. Full suite of artificial intelligence tools to drive deals for real estate brokerages and their agents.,,2023-09-01,month,"Artificial Intelligence (AI), Real Estate","New York, New York, United States",Generative AI for Real Estate Agents and Brokerages.,"279,131",,,,,,,,,,https://homehq.ai/,"Greater New York Area, East Coast, Northeastern US",,https://twitter.com/HomeHQai,,https://www.linkedin.com/company/homehq-ai/,,,,,,1,1-10,Oliver Palnau
VitalPoint Technologies,https://www.crunchbase.com/organization/vitalpoint-technologies,,,Active,For Profit,,VitalPoint Technologies develops a tech-enabled innovative healthcare platform developing alternative solutions. It delivers innovative solutions for mental health and wellness.,,2023-05-04,day,"Alternative Medicine, Artificial Intelligence (AI), Biotechnology, Health Care","Houston, Texas, United States",VitalPoint Technologies develops a tech-enabled innovative healthcare platform developing alternatives solutions.,"282,406",,,,,,,,,,https://vitalpointtech.com/,"Greater Houston Area, Southern US",,https://twitter.com/vitalpointtech1,,,,,,,,1,11-50,Robert Yrshus
Everlit,https://www.crunchbase.com/organization/everlit,,1,Active,For Profit,,"Everlit brings voice to the written word.  Our mission is to allow written word creators to reach a new audience, or deepen their connection with an existing one through audio. Our human-level AI voices that can convert years of written content into searchable, tagged audio - facilitating content discovery and exploration. We can take existing audio properties and do the reverse, making them equally searchable and findable. We work closely with authors. Using AI to analyze their text and clone the author's voice, they can scale the reach of their content to a new audience of millions while maintaining a control on the brand and identity.  People don't always have the time to read. So they listen to Everlit.",,2023-05-15,day,"Artificial Intelligence (AI), Audio, Machine Learning, Media and Entertainment","Santa Monica, California, United States","AI, Audio Platform, Content Creators, Audio Discovery","282,663",,,,,,,,,,https://everlit.audio,"Greater Los Angeles Area, West Coast, Western US",,https://twitter.com/everlitaudio,,https://linkedin.com/company/everlit,,,,,,1,1-10,Evan McGee
AgeWiser.ai,https://www.crunchbase.com/organization/agewiser-ai,,,Active,For Profit,,"AI Based senior care. The essence of AgeWiser's solution is an innovative AI-powered app aimed at reducing the risk of falls in senior citizens through real-time monitoring and personalized interventions.   This idea is unconventional and creative because it leverages advanced AI and machine learning technologies to provide real-time, tailored feedback and interventions. Unlike existing solutions, AgeWiser focuses on a holistic approach that includes physical health, mental well-being, and social engagement, directly addressing the unique challenges faced by seniors.",,2023-07-26,day,"Artificial Intelligence (AI), Health Care, Information Technology","Menlo Park, California, United States","AI Based senior care - promoting aging in place, tackling falls in a holistic manner","283,977",,,,,,,,,,https://agewiser.ai,"San Francisco Bay Area, Silicon Valley, West Coast",,,,,,,,,,1,1-10,Swathi Balantrapu
Liberty Leaf AI,https://www.crunchbase.com/organization/liberty-leaf-ai,,,Active,For Profit,,"Liberty Leaf AI is an AI FinTech Start up that has four patent pending technologies to include the U.S. Liberty Coin which is a hybrid-stable coin that leverages cutting-edge AI, machine learning and blockchain technology that offers secure and transparent transactions. The company aims to revolutionize the world of finance and bring about positive change for humanity.",,2023-04-01,day,"Artificial Intelligence (AI), Blockchain, Cannabis, Cryptocurrency, Finance, Machine Learning","Albany, New York, United States","Liberty Leaf AI is an AI FinTech Start Up Revolutionizing Wall Street with AI-Cryptocurrency, AI-Securities, AI-Weapons & AI-Robots","284,487",,,,,,,,,,https://libertyleaf.ai/,"East Coast, Northeastern US",,,,,,,,,,1,1-10,Janelle Marina Mendez
"ConstructWorks AI, Inc.",https://www.crunchbase.com/organization/constructworks-ai-inc,,,Active,For Profit,,"AttorneyAI utilizes AI to redefine legal case management. Our software generates real-time analysis by analyzing conversations, identifying potential conflicts of interest, and verifying facts on-the-spot. This reduces the need for post-meeting research and streamlines decision-making processes. Designed to effortlessly augment existing workflows, AttorneyAI instantly generates live reports with a focus on robust risk mitigation and meticulous fact-checking. This ensures that your firm makes informed decisions, ensuring no detail is overlooked.",,2023-08-31,day,"Artificial Intelligence (AI), Legal Tech, Software","Blacksburg, Virginia, United States",AI for Legal Professionals,"284,572",,,,,,,,,,https://www.construct.works/,"East Coast, Southern US",,,,https://www.linkedin.com/company/constructworks-ai,,,,,,1,1-10,Daniel Donahoe
ANIMA AI,https://www.crunchbase.com/organization/anima-ai-llc,,,Active,For Profit,,ANIMA AI opens up avenues for businesses that specialize in turning innovative AI research and technology into well-liked consumer goods.,,2023-10-16,day,"Artificial Intelligence (AI), SaaS","Austin, Texas, United States",ANIMA AI opens up avenues for businesses that specialize in turning innovative AI research and technology into well-liked consumer goods.,"285,258",,,,,,,,,,https://animaai.cloud,Southern US,,,,,,,,,,1,1-10,Gavin Li
GetSound,https://www.crunchbase.com/organization/getsound,"40,183",,Active,For Profit,,"Unleash productivity and minimize distractions by using our deep focus music, background music, and the best music for studying to unlock peak performance with revolutionary tech for a distraction-free workflow.",,2023-03-26,day,"Apps, Artificial Intelligence (AI), Audio, Software","Wilmington, Delaware, United States",Deep Focus & Relaxation App,"285,573",,,,,,,,,,https://getsound.ai,"Greater Philadelphia Area, East Coast, Southern US",,https://twitter.com/Getsound_AI,https://www.facebook.com/getsoundai/,https://www.linkedin.com/company/getsound-ai/,,,,,,2,11-50,"Adi Goldstein, Lior Nitzan"
Adam & Eva,https://www.crunchbase.com/organization/adam-eva,,,Active,For Profit,,"Adam & Eva develops a neuro-symbolic architecture for generative AI, featuring linear scaling of training costs and transparency in decision-making.  Fully transparent and more than 700 times more cost-effective than the most advanced models on the market.",,2023-12-18,day,"Artificial Intelligence (AI), Information Technology, Machine Learning","San Diego, California, United States",Adam & Eva develops neuro-symbolic AI architecture with linear scaling of training costs and transparency in decision-making,"285,938",,,,,,,,,,https://adam-eva.ai,"Greater San Diego Area, West Coast, Western US",,,,https://www.linkedin.com/company/adam-eva-inc/,,,,,,4,1-10,"Alexander Shumsky, Sergey Shumsky, Vadim Asadov, Vadim Peskov"
ComplianceAide International,https://www.crunchbase.com/organization/complianceaide-international,,,Active,For Profit,,"The ComplianceAide is a disruptive, multilingual AI-driven cybersecurity SaaS platform that imitates the actions of human auditors, it guides you through cybersecurity frameworks. It can create required documentation, assess security posture by control, educate and level up control coverage reducing time and capital expenses for compliance from several months to just days.",,2023-06-01,day,"Compliance, Cyber Security, Generative AI, Risk Management, SaaS","Dover, Delaware, United States",Using generative AI our multilingual SaaS platform enables anybody to complete cybersecurity compliance without requiring expertise.,"287,031",,,,,,,,,,https://TheComplianceAide.com,"East Coast, Southern US",,,,https://www.linkedin.com/in/thecomplianceaide/,,,,,,3,1-10,"Mark Heather, Randy Blasik, Randy Irwin"
Feetura,https://www.crunchbase.com/organization/feetura,,,Active,For Profit,,"Feetura is a social technology company focused on commerce that connects people to sell, buy, discover and build communities to grow their business.  At Feetura We build social technologies that connect and bring people closer, so that they can explore infinite online commerce opportunities together.",,2023-07-01,day,"Artificial Intelligence (AI), E-Commerce, Social Network","Dover, Delaware, United States",AI-powered Social Network for commerce,"289,223",,,,,,,,,,https://www.feetura.com,"East Coast, Southern US",,https://twitter.com/Offeetura,,https://www.linkedin.com/company/feetura,,,,,,1,1-10,Farouck Sylla
DubPrime,https://www.crunchbase.com/organization/dubprime,,,Active,For Profit,,DubPrime is an AI company that improves economic inclusion using AI underwriting to profitably lend to users whom banks deem too high a risk.,,2023-11-01,month,"Artificial Intelligence (AI), Enterprise Software, Finance, FinTech, Machine Learning, Software","Los Gatos, California, United States",DubPrime is an AI company that improves economic inclusion using AI underwriting to profitably lend to users whom banks deem too high a risk,"290,621",,,,,,,,,,https://www.dubprime.com/,"San Francisco Bay Area, Silicon Valley, West Coast",,,,https://www.linkedin.com/company/dubprime-inc/,,,,,,1,1-10,Vincent Lucero
1-Decision,https://www.crunchbase.com/organization/1-decision-d70a,,1,Active,For Profit,,1-Decision uses AI to automate daily decisions backed by real-world data in real-time. Automated Decisions for Daily Life Using Generative AI & Real Time Data Backed by Experts.,,2023-03-23,day,"Artificial Intelligence (AI), B2C, SaaS","Austin, Texas, United States",1-Decision uses AI to automate daily decisions backed by real-world data in real-time.,"290,874",,,,,,,,,,https://1-decision.com,Southern US,,,,https://www.linkedin.com/company/1-decision,,,,,,1,1-10,Collin Longmire
